Build Num,slow_ratio,repository_id
346,0.000,815132
1438,0.002,815299
949,0.000,816956
476,0.025,817618
951,0.084,821005
1253,0.016,827051
2374,0.010,832053
674,0.001,832552
458,0.790,833360
9311,0.284,835194
905,0.030,836692
1219,0.330,837137
527,0.021,838171
938,0.168,838233
1105,0.001,846262
2644,0.293,850402
721,0.001,850537
459,0.002,854020
418,0.017,854599
3186,0.624,854727
519,0.012,856259
319,0.721,859879
857,0.804,860240
972,0.584,862231
1416,0.004,869443
689,0.237,872038
712,0.508,880547
444,0.000,882223
325,0.295,882247
898,0.069,882731
956,0.006,884560
723,0.054,885865
12502,0.793,885890
324,0.052,891771
395,0.871,891993
441,0.551,892142
424,0.009,893432
1895,0.010,894507
1849,0.417,897767
584,0.012,901316
4443,0.854,901908
750,0.112,902621
503,0.736,903468
371,0.038,915265
5088,0.766,915694
2242,0.044,916594
384,0.018,917033
315,0.044,920507
355,0.000,922822
2587,0.300,926470
479,0.641,928278
327,0.021,930209
523,0.033,933034
379,0.884,939423
2215,0.121,940223
554,0.105,943686
3109,0.255,945110
5245,0.526,945754
1463,0.006,953254
374,0.770,957636
457,0.053,959393
418,0.029,962709
663,0.009,964588
2011,0.482,971309
616,0.310,971428
2113,0.222,975272
316,0.196,979931
1124,0.489,980068
454,0.139,982260
485,0.276,987174
343,0.044,990401
1243,0.204,993610
675,0.001,994029
988,0.808,994400
3533,0.320,995583
595,0.084,1001162
481,0.195,1003771
737,0.902,1003993
627,0.989,1008187
4701,0.575,1008536
1181,0.369,1010613
443,0.165,1010897
827,0.336,1013269
358,0.131,1016986
306,0.029,1022349
1565,0.985,1022766
653,0.772,1023503
789,0.393,1029486
518,0.000,1032594
549,0.160,1038690
501,0.000,1047092
465,0.454,1048045
4771,0.000,1051898
679,0.124,1051994
343,0.096,1054830
523,0.000,1056625
458,0.007,1057621
958,0.000,1058622
685,0.010,1058756
564,0.702,1059095
9367,0.992,1059387
442,0.131,1065151
2597,0.018,1071876
1057,0.317,1073144
517,0.004,1074724
539,0.330,1077865
635,0.244,1078773
454,0.123,1081722
917,0.122,1082957
621,0.021,1083712
991,0.296,1086357
1183,0.022,1088880
496,0.000,1090362
301,0.113,1098167
605,0.764,1117271
940,0.017,1118486
546,0.240,1120713
352,0.878,1121388
569,0.228,1123317
3349,0.955,1123945
870,0.000,1124195
4260,0.836,1127046
342,0.000,1130279
2937,0.057,1132294
623,0.003,1133462
1913,0.180,1134542
316,0.006,1136276
844,0.062,1139495
1036,0.014,1146620
368,0.005,1148532
615,0.002,1151906
413,0.099,1156695
467,0.985,1158148
1167,0.139,1161253
760,0.070,1161354
1292,0.001,1163114
1038,0.005,1163153
2727,0.526,1168363
1248,0.768,1169391
985,0.423,1171821
437,0.002,1175166
2066,0.159,1177736
2595,0.424,1177974
4327,0.002,1178490
1072,0.001,1178504
647,0.002,1178705
443,0.070,1179485
493,0.022,1179582
323,0.641,1180514
1827,0.516,1180605
2373,0.531,1182244
31581,0.900,1184141
2117,0.068,1184629
1223,0.022,1185221
1561,0.047,1185806
961,0.858,1186046
2172,0.946,1186518
641,0.538,1189148
1447,0.030,1189512
940,0.055,1189635
1415,0.273,1189816
581,0.003,1190015
462,0.535,1190614
777,0.000,1194288
559,0.472,1195756
710,0.015,1196518
755,0.036,1200226
373,0.019,1206059
480,0.000,1206868
1293,0.026,1212843
